DBLP:journals/corr/abs-0905-1995	VC v. VCG: Inapproximability of Combinatorial Auctions via Generalizations of the VC Dimension	Elchanan Mossel and Christos H. Papadimitriou and Michael Schapira and Yaron Singer	2009

DBLP:books/daglib/0017733	Algorithms	Sanjoy Dasgupta and Christos H. Papadimitriou and Umesh V. Vazirani	2008

DBLP:journals/im/HallNP08	Incentive-Compatible Interdomain Routing with Linear Utilities	Alexander Hall and Evdokia Nikolova and Christos H. Papadimitriou	2008

DBLP:journals/jacm/PapadimitriouR08	Computing correlated equilibria in multi-player games	Christos H. Papadimitriou and Tim Roughgarden	2008

DBLP:journals/jacm/DevanurPSV08	Market equilibrium via a primal-dual algorithm for a convex program	Nikhil R. Devanur and Christos H. Papadimitriou and Amin Saberi and Vijay V. Vazirani	2008

DBLP:conf/focs/DaskalakisP08	Discretized Multinomial Distributions and Nash Equilibria in Anonymous Games	Constantinos Daskalakis and Christos H. Papadimitriou	2008

DBLP:conf/focs/PapadimitriouSS08	On the Hardness of Being Truthful	Christos H. Papadimitriou and Michael Schapira and Yaron Singer	2008

DBLP:conf/isaac/ItoDHPSUU08	On the Complexity of Reconfiguration Problems	Takehiro Ito and Erik D. Demaine and Nicholas J. A. Harvey and Christos H. Papadimitriou and Martha Sideri and Ryuhei Uehara and Yushi Uno	2008

DBLP:conf/sagt/Papadimitriou08	The Search for Equilibrium Concepts	Christos H. Papadimitriou	2008

DBLP:conf/soda/FabrikantP08	The complexity of game dynamics: BGP oscillations, sink equilibria, and beyond	Alex Fabrikant and Christos H. Papadimitriou	2008

DBLP:conf/soda/LinASKP08	Linked decompositions of networks and the power of choice in Polya urns	Henry C. Lin and Christos Amanatidis and Martha Sideri and Richard M. Karp and Christos H. Papadimitriou	2008

DBLP:conf/stoc/BorgsCIKMP08	The myth of the folk theorem	Christian Borgs and Jennifer T. Chayes and Nicole Immorlica and Adam Tauman Kalai and Vahab S. Mirrokni and Christos H. Papadimitriou	2008

DBLP:conf/wine/Papadimitriou08	Some Recent Results in Algorithmic Game Theory	Christos H. Papadimitriou	2008

DBLP:conf/wine/2008	Internet and Network Economics, 4th International Workshop, WINE 2008, Shanghai, China, December 17-20, 2008. Proceedings	null	2008

DBLP:journals/corr/abs-0808-2801	Discretized Multinomial Distributions and Nash Equilibria in Anonymous Games	Constantinos Daskalakis and Christos H. Papadimitriou	2008

DBLP:books/daglib/0018514	Computational complexity	Christos H. Papadimitriou	2007

DBLP:journals/tcs/KoltunP07	Approximately dominating representatives	Vladlen Koltun and Christos H. Papadimitriou	2007

DBLP:conf/esa/Papadimitriou07	Nash Equilibria: Where We Stand	Christos H. Papadimitriou	2007

DBLP:conf/focs/DaskalakisP07	Computing Equilibria in Anonymous Games	Constantinos Daskalakis and Christos H. Papadimitriou	2007

DBLP:conf/mobihoc/PopaRKPS07	Balancing traffic load in wireless networks with curveball routing	Lucian Popa and Afshin Rostamizadeh and Richard M. Karp and Christos H. Papadimitriou and Ion Stoica	2007

DBLP:conf/sigecom/BabaioffKP07	Congestion games with malicious players	Moshe Babaioff and Robert Kleinberg and Christos H. Papadimitriou	2007

DBLP:conf/sigecom/DaskalakisMP07	Progress in approximate nash equilibria	Constantinos Daskalakis and Aranyak Mehta and Christos H. Papadimitriou	2007

DBLP:conf/wine/Papadimitriou07	The Computation of Equilibria	Christos H. Papadimitriou	2007

DBLP:conf/wine/HallNP07	Incentive-Compatible Interdomain Routing with Linear Utilities	Alexander Hall and Evdokia Nikolova and Christos H. Papadimitriou	2007

DBLP:journals/corr/abs-0710-5582	Computing Equilibria in Anonymous Games	Constantinos Daskalakis and Christos H. Papadimitriou	2007

DBLP:journals/eccc/BorgsCIKMP07	The Myth of the Folk Theorem	Christian Borgs and Jennifer T. Chayes and Nicole Immorlica and Adam Kalai and Vahab S. Mirrokni and Christos H. Papadimitriou	2007

DBLP:journals/algorithmica/ChenGP06	Recognizing Hole-Free 4-Map Graphs in Cubic Time	Zhi-Zhong Chen and Michelangelo Grigni and Christos H. Papadimitriou	2006

DBLP:journals/combinatorica/PapadimitriouV06	On The Approximability Of The Traveling Salesman Problem	Christos H. Papadimitriou and Santosh Vempala	2006

DBLP:journals/jcss/MihailPS06	On certain connectivity properties of the internet topology	Milena Mihail and Christos H. Papadimitriou and Amin Saberi	2006

DBLP:journals/jsac/FeldmanPCS06	Free-riding and whitewashing in peer-to-peer systems	Michal Feldman and Christos H. Papadimitriou and John Chuang and Ion Stoica	2006

DBLP:conf/icalp/GopalanKMP06	The Connectivity of Boolean Satisfiability: Computational and Structural Dichotomies	Parikshit Gopalan and Phokion G. Kolaitis and Elitza N. Maneva and Christos H. Papadimitriou	2006

DBLP:conf/icalp/DaskalakisFP06	The Game World Is Flat: The Complexity of Nash Equilibria in Succinct Games	Constantinos Daskalakis and Alex Fabrikant and Christos H. Papadimitriou	2006

DBLP:conf/sigecom/DaskalakisP06	Computing pure nash equilibria in graphical games via markov random fields	Constantinos Daskalakis and Christos H. Papadimitriou	2006

DBLP:conf/stoc/GoldbergP06	Reducibility among equilibrium problems	Paul W. Goldberg and Christos H. Papadimitriou	2006

DBLP:conf/stoc/DaskalakisGP06	The complexity of computing a Nash equilibrium	Constantinos Daskalakis and Paul W. Goldberg and Christos H. Papadimitriou	2006

DBLP:conf/wine/DaskalakisMP06	A Note on Approximate Nash Equilibria	Constantinos Daskalakis and Aranyak Mehta and Christos H. Papadimitriou	2006

DBLP:journals/corr/abs-cs-0609072	The Connectivity of Boolean Satisfiability: Computational and Structural Dichotomies	Parikshit Gopalan and Phokion G. Kolaitis and Elitza N. Maneva and Christos H. Papadimitriou	2006

DBLP:journals/eccc/GopalanKMP06	The Connectivity of Boolean Satisfiability: Computational and Structural Dichotomies	Parikshit Gopalan and Phokion G. Kolaitis and Elitza N. Maneva and Christos H. Papadimitriou	2006

DBLP:books/daglib/0015083	Turing - a novel about computation	Christos H. Papadimitriou	2005

DBLP:journals/dc/FeigenbaumPSS05	A BGP-based mechanism for lowest-cost routing	Joan Feigenbaum and Christos H. Papadimitriou and Rahul Sami and Scott Shenker	2005

DBLP:journals/tcs/PapadimitriouR05	On a conjecture related to geometric routing	Christos H. Papadimitriou and David Ratajczak	2005

DBLP:conf/approx/HallP05	Approximating the Distortion	Alexander Hall and Christos H. Papadimitriou	2005

DBLP:conf/concur/Papadimitriou05	Games Other People Play	Christos H. Papadimitriou	2005

DBLP:conf/dcoss/Papadimitriou05	Algorithmic Problems in Ad Hoc Networks	Christos H. Papadimitriou	2005

DBLP:conf/esa/DaskalakisP05	The Complexity of Games on Highly Regular Graphs	Konstantinos Daskalakis and Christos H. Papadimitriou	2005

DBLP:conf/icdt/KoltunP05	Approximately Dominating Representatives	Vladlen Koltun and Christos H. Papadimitriou	2005

DBLP:conf/soda/PapadimitriouR05	Computing equilibria in multi-player games	Christos H. Papadimitriou and Tim Roughgarden	2005

DBLP:conf/soda/PapadimitriouS05	The complexity of low-distortion embeddings between point sets	Christos H. Papadimitriou and Shmuel Safra	2005

DBLP:conf/stoc/Papadimitriou05	Computing correlated equilibria in multi-player games	Christos H. Papadimitriou	2005

DBLP:conf/wea/Papadimitriou05	... The Interaction Between Algorithms and Game Theory	Christos H. Papadimitriou	2005

DBLP:conf/wine/Papadimitriou05	Recent Developments in Equilibria Algorithms	Christos H. Papadimitriou	2005

DBLP:conf/wine/KouroupasKPS05	Experiments with an Economic Model of the Worldwide Web	Georgios Kouroupas and Elias Koutsoupias and Christos H. Papadimitriou and Martha Sideri	2005

DBLP:conf/www/KouroupasKPS05	An economic model of the worldwide web	Georgios Kouroupas and Elias Koutsoupias and Christos H. Papadimitriou and Martha Sideri	2005

DBLP:journals/eccc/ECCC-TR05-090	Reducibility Among Equilibrium Problems	Paul W. Goldberg and Christos H. Papadimitriou	2005

DBLP:journals/eccc/ECCC-TR05-115	The complexity of computing a Nash equilibrium	Konstantinos Daskalakis and Paul W. Goldberg and Christos H. Papadimitriou	2005

DBLP:journals/eccc/ECCC-TR05-139	Three-Player Games Are Hard	Konstantinos Daskalakis and Christos H. Papadimitriou	2005

